Kingdom,Phylum,Class,AlgalGroup,Genus,Species,Taxon,CurrentTaxon,Authority,AuthoritySource,SynonymAuthority,SynonymAuthoritySource,TaxonomicClassificationSource,GrowthHabit,HabitatType,SalinityRange
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Asterionellopsis,glacialis,Asterionellopsis glacialis,None,(Castracane) Round,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Asterionellopsis,gracilis,Asterionellopsis gracilis,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Asterionellopsis,socialis,Asterionellopsis socialis,None,(J.C. Lewin and R.E. Norris) R.M. Crawford and C. Gardner,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Bacillaria,paradoxa,Bacillaria paradoxa,Bacillaria paxillifera,J.F. Gmelin,www.algaebase.org,(O.F. M�ller) T. Marsson,www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Bacillaria,paxillifer,Bacillaria paxillifer,Bacillaria paxillifera,(O.F. M�ller) T. Marsson,www.algaebase.org,(O.F. M�ller) T. Marsson,www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Bacillaria,paxillifera,Bacillaria paxillifera,None,(O.F. M�ller) T. Marsson,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Bacillaria,sp.,Bacillaria sp.,None,Gmelin,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Biremis,lucens,Biremis lucens,None,"(Hustedt) Sabbe, Witkowski and Vyerman",www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Bleakeleya,notata,Bleakeleya notata,None,(Grunow) Round,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Brachysira,sp.,Brachysira sp.,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Caloneis,amphisbaena,Caloneis amphisbaena,None,(Bory de Saint Vincent) Cleve,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Caloneis,bacillum,Caloneis bacillum,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Caloneis,limosa,Caloneis limosa,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Caloneis,schumanniana,Caloneis schumanniana,None,(Grunow) Cleve,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Caloneis,silicula,Caloneis silicula,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Caloneis,sp.,Caloneis sp.,None,Cleve,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Campylodiscus,hibernicus,Campylodiscus hibernicus,Iconella hibernica,Ehrenberg,www.algaebase.org,(Ehrenberg) Ruck and Nakov,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Campylodiscus,sp.,Campylodiscus sp.,None,Ehrenberg ex K�tzing,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Capartogramma,crucicula,Capartogramma crucicula,Stauroneis brasiliensis,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Ceratoneis,arcus,Ceratoneis arcus,Hannaea arcus,(Ehrenberg) K�tzing,www.algaebase.org,(Ehrenberg) R.M. Patrick,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Ceratoneis,closterium,Ceratoneis closterium,Cylindrotheca closterium,Ehrenberg,www.algaebase.org,(Ehrenberg) Reimann and J.C. Lewin,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Ceratoneis,sp.,Ceratoneis sp.,Cylindrotheca sp.,Ehrenberg,www.algaebase.org,Rabenhorst,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,pediculus,Cocconeis pediculus,None,Ehrenberg,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,placentula,Cocconeis placentula,None,Ehrenberg,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,scutellum,Cocconeis scutellum,None,Ehrenberg,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cocconeis,sp.,Cocconeis sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cosmioneis,pusilla,Cosmioneis pusilla,None,(W. Smith) D.G. Mann and A.J. Stickle,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,brackish
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Craspedostauros,sp.,Craspedostauros sp.,None,E.J. Cox,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Craticula,accomoda,Craticula accomoda,None,(Hustedt) D.G. Mann,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Craticula,subminuscula,Craticula subminuscula,None,,,,,,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Eolimna,subminuscula,Eolimna subminuscula,Craticula subminuscula,,,,,,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Craticula,ambigua,Craticula ambigua,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Craticula,buderi,Craticula buderi,None,(Hustedt) Lange-Bertalot,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Craticula,cuspidata,Craticula cuspidata,None,(K�tzing) D.G. Mann,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Craticula,elkab,Craticula elkab,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Craticula,halophila,Craticula halophila,None,(Grunow) D.G. Mann,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Craticula,molestiformis,Craticula molestiformis,None,(Hustedt) Mayama,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Craticula,sp.,Craticula sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Ctenophora,sp.,Ctenophora sp.,None,(Grunow) D.M. Williams and Round,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cylindrotheca,closterium,Cylindrotheca closterium,None,(Ehrenberg) Reimann and J.C. Lewin,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cylindrotheca,gracilis,Cylindrotheca gracilis,None,(Br�bisson ex K�tzing) Grunow,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cylindrotheca,sp.,Cylindrotheca sp.,None,Rabenhorst,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymatopleura,elliptica,Cymatopleura elliptica,None,(Br�bisson) W. Smith,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymatopleura,solea,Cymatopleura solea,Surirella librile,(Br�bisson) W. Smith,www.algaebase.org,(Ehrenberg) Ehrenberg,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymatopleura,sp.,Cymatopleura sp.,None,Smith,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbella,affiniformis,Cymbella affiniformis,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbella,affinis,Cymbella affinis,None,K�tzing,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbella,cistula,Cymbella cistula,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbella,cymbiformis,Cymbella cymbiformis,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbella,delicatula,Cymbella delicatula,Delicatophycus delicatulus,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbella,janischii,Cymbella janischii,None,(A.W.F. Schmidt) De Toni,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbella,mexicana,Cymbella mexicana,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbella,sinuata,Cymbella sinuata,Reimeria sinuata,W. Gregory,www.algaebase.org,(Gregory) Kociolek and Stoermer,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbella,sp.,Cymbella sp.,None,Agardh,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbella,turgida,Cymbella turgida,Encyonema elginense,Gregory,www.algaebase.org,(Krammer) D.G. Mann,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbella,ventricosa,Cymbella ventricosa,Encyonema ventricosum,(C. Agardh) C. Agardh,www.algaebase.org,(C. Agardh) Grunow,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbopleura,anglica,Cymbopleura anglica,None,(Lagerstedt) Krammer,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater; fossil
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Cymbopleura,sp.,Cymbopleura sp.,None,(Krammer) Krammer,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Denticula,elegans,Denticula elegans,None,K�tzing,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Denticula,pelagica,Denticula pelagica,Tetralunata pelagica,Hustedt,www.algaebase.org,"(Hustedt) Hamsher, Graeff, Stepanek and Kociolek",www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Denticula,sp.,Denticula sp.,None,Ehrenberg,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Denticula,tenuis,Denticula tenuis,None,K�tzing,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diadesmis,confervacea,Diadesmis confervacea,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diadesmis,contenta,Diadesmis contenta,Humidophila contenta,(Grunow) D.G. Mann,www.algaebase.org,"(Grunow) Lowe, Kociolek, J.R. Johansen, Van de Vijver, Lange-Bertalot and Kopalov�",www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater or terrestrial
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diadesmis,sp.,Diadesmis sp.,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diatoma,elongatum,Diatoma elongatum,Diatoma tenue,(Lyngbye) Agardh,www.algaebase.org,C. Agardh,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diatoma,hiemale,Diatoma hiemale,None,(Lyngbye) Heiberg,www.marinespecies.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diatoma,mesodon,Diatoma mesodon,Odontidium mesodon,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diatoma,moniliformis,Diatoma moniliformis,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diatoma,sp.,Diatoma sp.,None,Bory de St.-Vincent,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diatoma,vulgare,Diatoma vulgare,None,Bory de St.-Vincent,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diatoma,vulgaris,Diatoma vulgaris,None,Bory de Saint-Vincent,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Didymosphenia,geminata,Didymosphenia geminata,None,(Lyngbye) M. Schmidt,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Didymosphenia,sp,Didymosphenia sp,None,M. Schmidt,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diploneis,bombus,Diploneis bombus,None,(Ehrenberg) Ehrenberg,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diploneis,didyma,Diploneis didyma,None,(Ehrenberg) Ehrenberg,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diploneis,elliptica,Diploneis elliptica,None,(K�tzing) Cleve,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diploneis,finnica,Diploneis finnica,None,(Ehrenberg) Cleve,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diploneis,litoralis,Diploneis litoralis,None,(Donkin) Cleve,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diploneis,ovalis,Diploneis ovalis,None,(Hilse) Cleve,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diploneis,parma,Diploneis parma,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diploneis,puella,Diploneis puella,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diploneis,smithii,Diploneis smithii,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Diploneis,sp.,Diploneis sp.,None,Ehrenberg ex Cleve,Wehr and Sheath 2003,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Encyonema,gracile,Encyonema gracile,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Encyonema,montanum,Encyonema montanum,None,,,,,,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Encyonema,ventricosum,Encyonema ventricosum,None,,,,,,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Encyonema,minutum,Encyonema minutum,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Encyonema,neogracile,Encyonema neogracile,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Encyonema,silesiacum,Encyonema silesiacum,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Encyonema,sp.,Encyonema sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Encyonopsis,microcephala,Encyonopsis microcephala,None,(Grunow) Krammer,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Encyonopsis,sp.,Encyonopsis sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Entomoneis,alata,Entomoneis alata,None,(Ehrenberg) Ehrenberg,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Entomoneis,paludosa,Entomoneis paludosa,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Entomoneis,paludosa var. subsalina,Entomoneis paludosa var. subsalina,None,(Cleve) Krammer,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Entomoneis,pulchra,Entomoneis pulchra,None,(J.W. Bailey) Reimer,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Entomoneis,sp.,Entomoneis sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Epithemia,adnata,Epithemia adnata,None,(K�tzing) Br�bisson,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Epithemia,gibba,Epithemia gibba,None,(Ehrenberg) K�tzing),www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Epithemia,sorex,Epithemia sorex,None,K�tzing,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Epithemia,sp.,Epithemia sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Epithemia,turgida,Epithemia turgida,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Epithemia,zebra,Epithemia zebra,Epithemia adnata,(Ehrenberg) K�tzing,www.algaebase.org,(K�tzing) Br�bisson,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Eunotia,eruca,Eunotia eruca,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Eunotia,formica,Eunotia formica,None,Ehrenberg,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Eunotia,pectinalis,Eunotia pectinalis,None,(K�tzing) Rabenhorst,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Eunotia,perpusilla,Eunotia perpusilla,None,Grunow,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Eunotia,sp.,Eunotia sp.,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fallacia,hodgeana,Fallacia hodgeana,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fallacia,indifferens,Fallacia indifferens,None,(Hustedt) D.G. Mann,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fallacia,pygmaea,Fallacia pygmaea,None,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,brackish
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fallacia,sp.,Fallacia sp.,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilaria,arcus,Fragilaria arcus,Hannaea arcus,(Ehrenberg) Cleve,www.algaebase.org,(Ehrenberg) R.M. Patrick,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilaria,pennsylvanica,Fragilaria pennsylvanica,None,,,,,,,,
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilaria,brevistriata,Fragilaria brevistriata,Pseudostaurosira brevistriata,Grunow,www.algaebase.org,(Grunow) D.M. Williams and Round,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,marine
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilaria,capucina,Fragilaria capucina,None,Desmazi�res,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilaria,construens,Fragilaria construens,Staurosira construens,(Ehrenberg) Grunow,www.algaebase.org,Ehrenberg,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilaria,crotonensis,Fragilaria crotonensis,None,Kitton,www.algaebase.org,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilaria,delicatissima,Fragilaria delicatissima,Ulnaria delicatissima,(W.Sm.) Lange-Bertalot,www.algaebase.org,(W. Smith) M. Aboal and P.C. Silva,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilaria,leptostauron,Fragilaria leptostauron,Staurosira leptostauron,(Ehrenberg) Hustedt,www.algaebase.org,(Ehrenberg) Kulikovskiy and Genkal,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Bacillariophyte,Bacillariophyceae,Pennate Diatoms,Fragilaria,mazamaensis,Fragilaria mazamaensis,None,Unknown,www.algaebase.org,Unknown,www.algaebase.org,Unknown,,,
